,1,2,3,4,5,6,7,8,9,10,Totals:
American Literature,1829,2826,3209,2913,2672,1640,1551,1503,1193,1111,20447
British Literature,1832,2829,3183,2893,2649,1640,1568,1521,1194,1112,20421
Classical Literature,1817,2803,3167,2879,2653,1660,1568,1522,1213,1135,20417
European Literature,1827,2793,3146,2859,2641,1634,1558,1511,1188,1106,20263
World Literature,1836,2806,3169,2875,2656,1683,1611,1566,1238,1159,20599
Other Literature,1826,2793,3156,2862,2643,1671,1591,1544,1224,1145,20455
American History,1912,2805,3177,2943,2746,1528,1503,1490,1225,1185,20514
Ancient History,1937,2821,3198,2893,2697,1625,1571,1577,1328,1262,20909
European History,1926,2821,3161,2871,2667,1603,1603,1584,1318,1274,20828
World History,1912,2795,3139,2855,2651,1598,1596,1576,1312,1268,20702
Other History,1912,2792,3117,2843,2641,1597,1562,1546,1276,1233,20519
Biology,1772,2490,2718,2496,2239,1262,1326,1300,1023,957,17583
Chemistry,1755,2468,2718,2488,2211,1244,1294,1266,991,938,17373
Physics,1746,2436,2688,2468,2189,1262,1307,1317,972,920,17305
Math,1692,2387,2673,2490,2221,1253,1263,1274,952,897,17102
Other Science,1716,2416,2674,2517,2243,1262,1286,1290,969,914,17287
Visual Fine Arts,1590,2428,2612,2420,2248,1452,1372,1315,1019,946,17402
Auditory Fine Arts,1604,2406,2573,2381,2218,1357,1334,1351,1044,963,17231
Other Fine Arts,1548,2337,2469,2304,2143,1325,1259,1263,974,909,16531
Religion,1473,2232,2485,2253,1944,1064,1036,1025,756,702,14970
Mythology,1683,2475,2877,2536,2185,1210,1179,1225,954,879,17203
Philosophy,1372,2006,2247,2001,1732,908,900,928,640,605,13339
Social Science,1369,1985,2195,1920,1659,886,928,941,672,632,13187
Current Events,1350,1994,2146,1789,1584,861,881,924,692,646,12867
Geography,1513,2272,2530,2233,2059,1109,1110,1130,850,805,15611
Other Academic,1248,1934,2033,1667,1389,674,686,734,524,484,11373
Trash,1363,2044,2143,1869,1635,799,649,686,479,450,12117
Totals:,45360,67194,74603,67518,61215,35807,35092,34909,27220,25637,474555
